id,e_number,name,common_name,slug,category,origin,risk_score,longevity_impact,adi_value,adi_source,children_note,health_effects,common_products,avoidance_tips,natural_alternatives,short_description,long_description,meta_title,meta_description,scientific_studies,livsmedelsverket_data,created_at,updated_at,is_published
01946c34-4edb-4272-8582-ee2338778175,E222,Natriumvätesulfit,Natriumbisulfit,e222-natriumvatesulfit,Konserveringsmedel,Syntetiskt konserveringsmedel,4,Neutral,0.7,mg/kg kroppsvikt/dag - WHO/FAO,Undvik för barn med astma,"{""neutral"":[""Svavelförebindelse""],""negative"":[""Allergiframkallande"",""Astma"",""B1-vitaminförstöring""],""positive"":[""Effektiv konservering"",""Antioxidant""]}","{""note"":""Vanligt i vin"",""categories"":[""Vin"",""Torkad frukt"",""Färsk frukt"",""Potatis""]}","[""Begränsa intaget"",""Välj färska produkter när möjligt"",""Läs etiketter noga""]","[""Salt"",""Socker"",""Naturlig fermentering"",""Frysning""]",Konserveringsmedel som förhindrar bakterietillväxt och förlänger hållbarheten.,"Natriumvätesulfit (E222) är ett konserveringsmedel som används för att förhindra tillväxt av skadliga bakterier, jäst och mögel i livsmedel. Medan det hjälper till att bibehålla livsmedelssäkerheten, kan vissa konserveringsmedel orsaka allergiska reaktioner eller störa den naturliga tarmfloran vid höga intag.",E222 Natriumvätesulfit - lågrisk Konserveringsmedel | E-ämne,"E222 (Natriumvätesulfit) - Information om detta konserveringsmedel. Hälsoeffekter, användningsområden och säkerhetsaspekter. Komplett E-ämnen guide.",,,2025-09-15 16:21:34.824459+00,2025-09-17 09:08:53.631207+00,true
02129e4c-6953-4fa7-b62e-d8524a2d08e2,E907,Hydrogenerat poly-1-deken,,e907-hydrogenerat-poly-1-deken,Övriga tillsatser,Oklart ursprung,3,Neutral,,,,,,"[""Begränsa intaget av processade livsmedel"",""Välj naturliga alternativ när möjligt""]","[""Naturliga alternativ"",""Ekologiska produkter"",""Hemgjorda alternativ""]",Hydrogenerat poly-1-deken är ett livsmedelstillsats som klassificeras som övriga tillsatser.,Hydrogenerat poly-1-deken (E907) är ett övriga tillsatser som används i livsmedelsindustrin. Som med alla livsmedelstillsatser rekommenderas måttlig konsumtion och att läsa ingrediensförteckningar för att fatta informerade val om din kost.,E907 Hydrogenerat poly-1-deken - lågrisk Övriga tillsatser |,"E907 (Hydrogenerat poly-1-deken) - Information om detta övriga tillsatser. Hälsoeffekter, användningsområden och säkerhetsaspekter. Komplett E-ämnen guide.",,,2025-09-15 17:45:11.847197+00,2025-09-17 09:08:54.683453+00,true
0263c78f-a1f8-4ac6-ab84-e10cc465f6fb,E630,Inosinsyra,5-Inosinat,e630-inosinsyra,Övriga tillsatser,Oklart ursprung,3,Neutral,,Quantum satis,Säkert för barn,"{""neutral"":[""Smakförstärkare""],""negative"":[],""positive"":[""Förstärker naturlig smak"",""Naturligt i kött""]}","{""note"":""Naturlig i kött"",""categories"":[""Snacks"",""Kryddblandningar""]}","[""Begränsa intaget av processade livsmedel"",""Välj naturliga alternativ när möjligt""]","[""Naturliga alternativ"",""Ekologiska produkter"",""Hemgjorda alternativ""]",Inosinsyra är ett livsmedelstillsats som klassificeras som övriga tillsatser.,Inosinsyra (E630) är ett övriga tillsatser som används i livsmedelsindustrin. Som med alla livsmedelstillsatser rekommenderas måttlig konsumtion och att läsa ingrediensförteckningar för att fatta informerade val om din kost.,E630 Inosinsyra - lågrisk Övriga tillsatser | E-ämnen Guide,"E630 (Inosinsyra) - Information om detta övriga tillsatser. Hälsoeffekter, användningsområden och säkerhetsaspekter. Komplett E-ämnen guide.",,,2025-09-15 16:28:46.013759+00,2025-09-17 09:09:08.131777+00,true
035fc9c0-be95-4e7e-8dbd-d9dbc441f762,E128,Röd 2G,Red 2G,e128-rod-2g,Färgämne,Oklart ursprung,3,Neutral,,,,,,"[""Begränsa intaget av processade livsmedel"",""Välj naturliga alternativ när möjligt""]","[""Naturliga alternativ"",""Ekologiska produkter"",""Hemgjorda alternativ""]",Röd 2G är ett livsmedelstillsats som klassificeras som färgämne.,Röd 2G (E128) är ett färgämne som används i livsmedelsindustrin. Som med alla livsmedelstillsatser rekommenderas måttlig konsumtion och att läsa ingrediensförteckningar för att fatta informerade val om din kost.,E128 Röd 2G - lågrisk Färgämne | E-ämnen Guide,"E128 (Röd 2G) - Information om detta färgämne. Hälsoeffekter, användningsområden och säkerhetsaspekter. Komplett E-ämnen guide.",,,2025-09-15 15:07:23.423761+00,2025-09-17 09:09:04.861665+00,true
03dcc553-d5b9-4886-a4c9-7223211c2bac,E1404,Oxiderad stärkelse,,e1404-oxiderad-starkelse,"Emulgerings-, stabiliserings-, förtjocknings- och geleringsmedel",Oklart ursprung,3,Neutral,0,EFSA - Ej specificerat ADI (allmänt säker),,,,"[""Begränsa intaget av processade livsmedel"",""Välj naturliga alternativ när möjligt""]","[""Naturliga alternativ"",""Ekologiska produkter"",""Hemgjorda alternativ""]","Oxiderad stärkelse är ett livsmedelstillsats som klassificeras som emulgerings-, stabiliserings-, förtjocknings- och geleringsmedel.","Oxiderad stärkelse (E1404) är ett emulgerings-, stabiliserings-, förtjocknings- och geleringsmedel som används i livsmedelsindustrin. Som med alla livsmedelstillsatser rekommenderas måttlig konsumtion och att läsa ingrediensförteckningar för att fatta informerade val om din kost.","E1404 Oxiderad stärkelse - lågrisk Emulgerings-, stabiliseri","E1404 (Oxiderad stärkelse) - Information om detta emulgerings-, stabiliserings-, förtjocknings- och geleringsmedel. Hälsoeffekter, användningsområden och säkerh",,,2025-09-15 17:43:37.938721+00,2025-09-17 09:08:49.383251+00,true
048b0643-dfd5-4e19-ad34-94cc4f5edb06,E635,Dinatrium-5'-ribonukleotider,,e635-dinatrium-5-ribonukleotider,Övriga tillsatser,Oklart ursprung,3,Neutral,,,,,,"[""Begränsa intaget av processade livsmedel"",""Välj naturliga alternativ när möjligt""]","[""Naturliga alternativ"",""Ekologiska produkter"",""Hemgjorda alternativ""]",Dinatrium-5'-ribonukleotider är ett livsmedelstillsats som klassificeras som övriga tillsatser.,Dinatrium-5'-ribonukleotider (E635) är ett övriga tillsatser som används i livsmedelsindustrin. Som med alla livsmedelstillsatser rekommenderas måttlig konsumtion och att läsa ingrediensförteckningar för att fatta informerade val om din kost.,E635 Dinatrium-5'-ribonukleotider - lågrisk Övriga tillsatse,"E635 (Dinatrium-5'-ribonukleotider) - Information om detta övriga tillsatser. Hälsoeffekter, användningsområden och säkerhetsaspekter. Komplett E-ämnen guide.",,,2025-09-15 17:45:11.847197+00,2025-09-17 09:08:50.787658+00,true
0530a0bf-ec98-457f-9386-e5eb74eea6ad,E175,Guld,Gold,e175-guld,Färgämne,Oklart ursprung,3,Neutral,,,,,,"[""Begränsa intaget av processade livsmedel"",""Välj naturliga alternativ när möjligt""]","[""Naturliga alternativ"",""Ekologiska produkter"",""Hemgjorda alternativ""]",Guld är ett livsmedelstillsats som klassificeras som färgämne.,Guld (E175) är ett färgämne som används i livsmedelsindustrin. Som med alla livsmedelstillsatser rekommenderas måttlig konsumtion och att läsa ingrediensförteckningar för att fatta informerade val om din kost.,E175 Guld - lågrisk Färgämne | E-ämnen Guide,"E175 (Guld) - Information om detta färgämne. Hälsoeffekter, användningsområden och säkerhetsaspekter. Komplett E-ämnen guide.",,,2025-09-15 15:09:49.154712+00,2025-09-17 09:09:05.445359+00,true
069bed93-86d1-422b-9003-28c0796b73aa,E408,Bakjästglukan,Beta-glukan från jäst,e408-bakjastglukan,"Emulgerings-, stabiliserings-, förtjocknings- och geleringsmedel",Oklart ursprung,3,Neutral,,Quantum satis,Mycket fördelaktigt för barn,"{""neutral"":[""Funktionell fiber""],""negative"":[],""positive"":[""Immunförstärkande"",""Kolesterolsänkande"",""Naturlig fiber""]}","{""note"":""Hälsofrämjande fiber"",""categories"":[""Funktionella livsmedel"",""Kosttillskott"",""Bröd""]}","[""Begränsa intaget av processade livsmedel"",""Välj naturliga alternativ när möjligt""]","[""Naturliga alternativ"",""Ekologiska produkter"",""Hemgjorda alternativ""]","Bakjästglukan är ett livsmedelstillsats som klassificeras som emulgerings-, stabiliserings-, förtjocknings- och geleringsmedel.","Bakjästglukan (E408) är ett emulgerings-, stabiliserings-, förtjocknings- och geleringsmedel som används i livsmedelsindustrin. Som med alla livsmedelstillsatser rekommenderas måttlig konsumtion och att läsa ingrediensförteckningar för att fatta informerade val om din kost.","E408 Bakjästglukan - lågrisk Emulgerings-, stabiliserings-, ","E408 (Bakjästglukan) - Information om detta emulgerings-, stabiliserings-, förtjocknings- och geleringsmedel. Hälsoeffekter, användningsområden och säkerhetsasp",,,2025-09-15 16:24:25.464942+00,2025-09-17 09:08:53.271878+00,true
06cb0933-c393-4803-b3cb-af98b54de68b,E385,Kalciumdinatriumedetat,EDTA-kalcium,e385-kalciumdinatriumedetat,Antioxidant,Oklart ursprung,3,Neutral,2.5,EFSA,"Begränsa för barn, kan påverka mineralabsorption","{""suspected"":[""Störd zink- och järnabsorption"",""Långsiktiga mineralbrister""],""documented"":[""Mineralbrister"",""Mag-tarmbesvär"",""Njurpåverkan""],""risk_groups"":[""Barn"",""Gravida"",""Personer med njurproblem"",""Äldre""]}","[{""category"":""Konserverade grönsaker"",""products"":[""Inlagda grönsaker"",""Konserverade bönor""],""average_amount"":""25-250 mg/kg""},{""category"":""Såser och dressingar"",""products"":[""Majonnäs"",""Dressingar"",""Såser""],""average_amount"":""75 mg/kg""}]","[""Begränsa intaget av processade livsmedel"",""Välj naturliga alternativ när möjligt""]","[""Naturliga alternativ"",""Ekologiska produkter"",""Hemgjorda alternativ""]",Kalciumdinatriumedetat är ett livsmedelstillsats som klassificeras som antioxidant.,Kalciumdinatriumedetat (E385) är ett antioxidant som används i livsmedelsindustrin. Som med alla livsmedelstillsatser rekommenderas måttlig konsumtion och att läsa ingrediensförteckningar för att fatta informerade val om din kost.,"E385 Kalciumdinatriumedetat - lågrisk Antioxidant | E-ämnen ","E385 (Kalciumdinatriumedetat) - Information om detta antioxidant. Hälsoeffekter, användningsområden och säkerhetsaspekter. Komplett E-ämnen guide.",,,2025-09-15 14:43:07.097826+00,2025-09-17 09:08:54.311885+00,true
07852e9b-04e9-42a9-b914-63c0bf96ec39,E629,Kalciumguanylat,Kalciumsalt av guanylsyra,e629-kalciumguanylat,Övriga tillsatser,Oklart ursprung,3,Neutral,,Quantum satis,Fördelaktigt för barn,"{""neutral"":[""Kombinerar funktioner""],""negative"":[],""positive"":[""Kalciumkälla"",""Smakförstärkning""]}","{""note"":""Dubbelfunktion"",""categories"":[""Funktionella snacks""]}","[""Begränsa intaget av processade livsmedel"",""Välj naturliga alternativ när möjligt""]","[""Naturliga alternativ"",""Ekologiska produkter"",""Hemgjorda alternativ""]",Kalciumguanylat är ett livsmedelstillsats som klassificeras som övriga tillsatser.,Kalciumguanylat (E629) är ett övriga tillsatser som används i livsmedelsindustrin. Som med alla livsmedelstillsatser rekommenderas måttlig konsumtion och att läsa ingrediensförteckningar för att fatta informerade val om din kost.,E629 Kalciumguanylat - lågrisk Övriga tillsatser | E-ämnen G,"E629 (Kalciumguanylat) - Information om detta övriga tillsatser. Hälsoeffekter, användningsområden och säkerhetsaspekter. Komplett E-ämnen guide.",,,2025-09-15 16:28:46.013759+00,2025-09-17 09:09:08.070457+00,true
